Geo type,Geography ,Category ,Year,Value
Supervisory Union/School District,Addison Northwest SD,Math Foster,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Not Foster,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Female,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Male,2023,0.5
Supervisory Union/School District,Addison Northwest SD,Math Historically Marginalized,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Not Historically Marginalized,2023,0.548387
Supervisory Union/School District,Addison Northwest SD,Math McKinney Vento Eligible,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Migrant,2023,0
Supervisory Union/School District,Addison Northwest SD,Math Not Migrant,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Military,2023,0
Supervisory Union/School District,Addison Northwest SD,Math Not Military,2023,***
Supervisory Union/School District,Addison Northwest SD,Math American Indian or Alaskan Native,2023,0
Supervisory Union/School District,Addison Northwest SD,Math Asian,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Black,2023,0
Supervisory Union/School District,Addison Northwest SD,Math Hispanic,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Native Hawaiian or Pacific Islander,2023,0
Supervisory Union/School District,Addison Northwest SD,Math White,2023,0.470588
Supervisory Union/School District,Barre SU,English All Students,2023,***
Supervisory Union/School District,Barre SU,English No Special Ed,2023,0.509434
Supervisory Union/School District,Barre SU,English Special Ed,2023,***
Supervisory Union/School District,Barre SU,English ELL,2023,***
Supervisory Union/School District,Barre SU,English Not ELL,2023,***
Supervisory Union/School District,Barre SU,English FRL,2023,***
Supervisory Union/School District,Barre SU,English Not FRL,2023,0.510638
Supervisory Union/School District,Barre SU,English Foster,2023,***
Supervisory Union/School District,Barre SU,English Not Foster,2023,***
Supervisory Union/School District,Barre SU,English Female,2023,***
Supervisory Union/School District,Barre SU,English Male,2023,***
Supervisory Union/School District,Barre SU,English Historically Marginalized,2023,0.252874
Supervisory Union/School District,Barre SU,English Not Historically Marginalized,2023,***
Supervisory Union/School District,Barre SU,English McKinney Vento Eligible,2023,***
Supervisory Union/School District,Barre SU,English Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Barre SU,English Migrant,2023,0
Supervisory Union/School District,Barre SU,English Not Migrant,2023,***
Supervisory Union/School District,Barre SU,English Military,2023,0
Supervisory Union/School District,Barre SU,English Not Military,2023,***
Supervisory Union/School District,Barre SU,English American Indian or Alaskan Native,2023,***
Supervisory Union/School District,Barre SU,English Asian,2023,***
Supervisory Union/School District,Barre SU,English Black,2023,***
Supervisory Union/School District,Barre SU,English Hispanic,2023,***
Supervisory Union/School District,Barre SU,English Native Hawaiian or Pacific Islander,2023,***
Supervisory Union/School District,Barre SU,English White,2023,0.4
Supervisory Union/School District,Barre SU,Math All Students,2023,***
Supervisory Union/School District,Barre SU,Math No Special Ed,2023,0.283019
Supervisory Union/School District,Barre SU,Math Special Ed,2023,***
Supervisory Union/School District,Barre SU,Math ELL,2023,***
Supervisory Union/School District,Barre SU,Math Not ELL,2023,***
Supervisory Union/School District,Barre SU,Math FRL,2023,***
Supervisory Union/School District,Barre SU,Math Not FRL,2023,0.322581
Supervisory Union/School District,Barre SU,Math Foster,2023,***
Supervisory Union/School District,Barre SU,Math Not Foster,2023,***
Supervisory Union/School District,Barre SU,Math Female,2023,***
Supervisory Union/School District,Barre SU,Math Male,2023,***
Supervisory Union/School District,Barre SU,Math Historically Marginalized,2023,0.151163
Supervisory Union/School District,Barre SU,Math Not Historically Marginalized,2023,***
Supervisory Union/School District,Barre SU,Math McKinney Vento Eligible,2023,***
Supervisory Union/School District,Barre SU,Math Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Barre SU,Math Migrant,2023,0
Supervisory Union/School District,Barre SU,Math Not Migrant,2023,***
Supervisory Union/School District,Barre SU,Math Military,2023,0
Supervisory Union/School District,Barre SU,Math Not Military,2023,***
Supervisory Union/School District,Barre SU,Math American Indian or Alaskan Native,2023,***
Supervisory Union/School District,Barre SU,Math Asian,2023,***
Supervisory Union/School District,Barre SU,Math Black,2023,***
Supervisory Union/School District,Barre SU,Math Hispanic,2023,***
Supervisory Union/School District,Barre SU,Math Native Hawaiian or Pacific Islander,2023,***
Supervisory Union/School District,Barre SU,Math White,2023,0.244604
Supervisory Union/School District,Bennington Rutland SU,English All Students,2023,0.521429
Supervisory Union/School District,Bennington Rutland SU,English No Special Ed,2023,0.568
Supervisory Union/School District,Bennington Rutland SU,English Special Ed,2023,0.133333
Supervisory Union/School District,Bennington Rutland SU,English ELL,2023,***
Supervisory Union/School District,Bennington Rutland SU,English Not ELL,2023,***
Supervisory Union/School District,Bennington Rutland SU,English FRL,2023,0.314286
Supervisory Union/School District,Bennington Rutland SU,English Not FRL,2023,0.590476
Supervisory Union/School District,Bennington Rutland SU,English Foster,2023,***
Supervisory Union/School District,Bennington Rutland SU,English Not Foster,2023,***
Supervisory Union/School District,Bennington Rutland SU,English Female,2023,0.558442
Supervisory Union/School District,Bennington Rutland SU,English Male,2023,0.47619
Supervisory Union/School District,Bennington Rutland SU,English Historically Marginalized,2023,0.291667
Supervisory Union/School District,Bennington Rutland SU,English Not Historically Marginalized,2023,0.641304
Supervisory Union/School District,Bennington Rutland SU,English McKinney Vento Eligible,2023,***
Supervisory Union/School District,Bennington Rutland SU,English Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Bennington Rutland SU,English Migrant,2023,0
Supervisory Union/School District,Bennington Rutland SU,English Not Migrant,2023,0.521429
Supervisory Union/School District,Bennington Rutland SU,English Military,2023,0
Supervisory Union/School District,Bennington Rutland SU,English Not Military,2023,0.521429
Supervisory Union/School District,Bennington Rutland SU,English American Indian or Alaskan Native,2023,0
Supervisory Union/School District,Bennington Rutland SU,English Asian,2023,***
Supervisory Union/School District,Bennington Rutland SU,English Black,2023,***
Supervisory Union/School District,Bennington Rutland SU,English Hispanic,2023,***
Supervisory Union/School District,Bennington Rutland SU,English Native Hawaiian or Pacific Islander,2023,0
Supervisory Union/School District,Bennington Rutland SU,English White,2023,0.528986
Supervisory Union/School District,Bennington Rutland SU,Math All Students,2023,0.450704
Supervisory Union/School District,Bennington Rutland SU,Math No Special Ed,2023,0.464567
Supervisory Union/School District,Bennington Rutland SU,Math Special Ed,2023,0.333333
Supervisory Union/School District,Bennington Rutland SU,Math ELL,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Not ELL,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math FRL,2023,0.243243
Supervisory Union/School District,Bennington Rutland SU,Math Not FRL,2023,0.52381
Supervisory Union/School District,Bennington Rutland SU,Math Foster,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Not Foster,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Female,2023,0.410256
Supervisory Union/School District,Bennington Rutland SU,Math Male,2023,0.5
Supervisory Union/School District,Bennington Rutland SU,Math Historically Marginalized,2023,0.24
Supervisory Union/School District,Bennington Rutland SU,Math Not Historically Marginalized,2023,0.565217
Supervisory Union/School District,Bennington Rutland SU,Math McKinney Vento Eligible,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Migrant,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Not Migrant,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Military,2023,0
Supervisory Union/School District,Bennington Rutland SU,Math Not Military,2023,0.450704
Supervisory Union/School District,Bennington Rutland SU,Math American Indian or Alaskan Native,2023,0
Supervisory Union/School District,Bennington Rutland SU,Math Asian,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Black,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Hispanic,2023,***
Supervisory Union/School District,Bennington Rutland SU,Math Native Hawaiian or Pacific Islander,2023,0
Supervisory Union/School District,Bennington Rutland SU,Math White,2023,0.457143
Supervisory Union/School District,Burlington SD,English All Students,2023,***
Supervisory Union/School District,Burlington SD,English No Special Ed,2023,0.582888
Supervisory Union/School District,Burlington SD,English Special Ed,2023,***
Supervisory Union/School District,Burlington SD,English ELL,2023,***
Supervisory Union/School District,Burlington SD,English Not ELL,2023,0.645714
Supervisory Union/School District,Burlington SD,English FRL,2023,***
Supervisory Union/School District,Burlington SD,English Not FRL,2023,0.790323
Supervisory Union/School District,Burlington SD,English Foster,2023,***
Supervisory Union/School District,Burlington SD,English Not Foster,2023,***
Supervisory Union/School District,Burlington SD,English Female,2023,***
Supervisory Union/School District,Burlington SD,English Male,2023,***
Supervisory Union/School District,Burlington SD,English Historically Marginalized,2023,0.292683
Supervisory Union/School District,Burlington SD,English Not Historically Marginalized,2023,***
Supervisory Union/School District,Burlington SD,English McKinney Vento Eligible,2023,***
Supervisory Union/School District,Burlington SD,English Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Burlington SD,English Migrant,2023,0
Supervisory Union/School District,Burlington SD,English Not Migrant,2023,***
Supervisory Union/School District,Burlington SD,English Military,2023,***
Supervisory Union/School District,Burlington SD,English Not Military,2023,***
Supervisory Union/School District,Burlington SD,English American Indian or Alaskan Native,2023,***
Supervisory Union/School District,Burlington SD,English Asian,2023,0.375
Supervisory Union/School District,Burlington SD,English Black,2023,0.22449
Supervisory Union/School District,Burlington SD,English Hispanic,2023,***
Supervisory Union/School District,Burlington SD,English Native Hawaiian or Pacific Islander,2023,***
Supervisory Union/School District,Burlington SD,English White,2023,0.652174
Supervisory Union/School District,Burlington SD,Math All Students,2023,***
Supervisory Union/School District,Burlington SD,Math No Special Ed,2023,0.352632
Supervisory Union/School District,Burlington SD,Math Special Ed,2023,***
Supervisory Union/School District,Burlington SD,Math ELL,2023,***
Supervisory Union/School District,Burlington SD,Math Not ELL,2023,0.384181
Supervisory Union/School District,Burlington SD,Math FRL,2023,***
Supervisory Union/School District,Burlington SD,Math Not FRL,2023,0.507937
Supervisory Union/School District,Burlington SD,Math Foster,2023,***
Supervisory Union/School District,Burlington SD,Math Not Foster,2023,***
Supervisory Union/School District,Burlington SD,Math Female,2023,0.324324
Supervisory Union/School District,Burlington SD,Math Male,2023,***
Supervisory Union/School District,Burlington SD,Math Historically Marginalized,2023,0.134921
Supervisory Union/School District,Burlington SD,Math Not Historically Marginalized,2023,***
Supervisory Union/School District,Burlington SD,Math McKinney Vento Eligible,2023,***
Supervisory Union/School District,Burlington SD,Math Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Burlington SD,Math Migrant,2023,0
Supervisory Union/School District,Burlington SD,Math Not Migrant,2023,***
Supervisory Union/School District,Burlington SD,Math Military,2023,***
Supervisory Union/School District,Burlington SD,Math Not Military,2023,***
Supervisory Union/School District,Burlington SD,Math American Indian or Alaskan Native,2023,***
Supervisory Union/School District,Burlington SD,Math Asian,2023,0.269231
Supervisory Union/School District,Burlington SD,Math Black,2023,0.08
Supervisory Union/School District,Burlington SD,Math Hispanic,2023,***
Supervisory Union/School District,Burlington SD,Math Native Hawaiian or Pacific Islander,2023,***
Supervisory Union/School District,Burlington SD,Math White,2023,0.397516
Supervisory Union/School District,Caledonia Central,English All Students,2023,***
Supervisory Union/School District,Caledonia Central,English No Special Ed,2023,0.538462
Supervisory Union/School District,Caledonia Central,English Special Ed,2023,***
Supervisory Union/School District,Caledonia Central,English ELL,2023,0
Supervisory Union/School District,Caledonia Central,English Not ELL,2023,***
Supervisory Union/School District,Caledonia Central,English FRL,2023,***
Supervisory Union/School District,Caledonia Central,English Not FRL,2023,0.457143
Supervisory Union/School District,Caledonia Central,English Foster,2023,0
Supervisory Union/School District,Caledonia Central,English Not Foster,2023,***
Supervisory Union/School District,Caledonia Central,English Female,2023,***
Supervisory Union/School District,Caledonia Central,English Male,2023,0.407407
Supervisory Union/School District,Caledonia Central,English Historically Marginalized,2023,***
Supervisory Union/School District,Caledonia Central,English Not Historically Marginalized,2023,0.538462
Supervisory Union/School District,Caledonia Central,English McKinney Vento Eligible,2023,0
Supervisory Union/School District,Caledonia Central,English Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Caledonia Central,English Migrant,2023,0
Supervisory Union/School District,Caledonia Central,English Not Migrant,2023,***
Supervisory Union/School District,Caledonia Central,English Military,2023,***
Supervisory Union/School District,Caledonia Central,English Not Military,2023,***
Supervisory Union/School District,Caledonia Central,English American Indian or Alaskan Native,2023,***
Supervisory Union/School District,Caledonia Central,English Asian,2023,***
Supervisory Union/School District,Caledonia Central,English Black,2023,***
Supervisory Union/School District,Caledonia Central,English Hispanic,2023,***
Supervisory Union/School District,Caledonia Central,English Native Hawaiian or Pacific Islander,2023,***
Supervisory Union/School District,Caledonia Central,English White,2023,0.43299
Supervisory Union/School District,Caledonia Central,Math All Students,2023,***
Supervisory Union/School District,Caledonia Central,Math No Special Ed,2023,0.25641
Supervisory Union/School District,Caledonia Central,Math Special Ed,2023,***
Supervisory Union/School District,Caledonia Central,Math ELL,2023,0
Supervisory Union/School District,Caledonia Central,Math Not ELL,2023,***
Supervisory Union/School District,Caledonia Central,Math FRL,2023,***
Supervisory Union/School District,Caledonia Central,Math Not FRL,2023,0.228571
Supervisory Union/School District,Caledonia Central,Math Foster,2023,0
Supervisory Union/School District,Caledonia Central,Math Not Foster,2023,***
Supervisory Union/School District,Caledonia Central,Math Female,2023,***
Supervisory Union/School District,Caledonia Central,Math Male,2023,0.185185
Supervisory Union/School District,Caledonia Central,Math Historically Marginalized,2023,***
Supervisory Union/School District,Caledonia Central,Math Not Historically Marginalized,2023,0.288462
Supervisory Union/School District,Caledonia Central,Math McKinney Vento Eligible,2023,0
Supervisory Union/School District,Caledonia Central,Math Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Caledonia Central,Math Migrant,2023,0
Supervisory Union/School District,Caledonia Central,Math Not Migrant,2023,***
Supervisory Union/School District,Caledonia Central,Math Military,2023,***
Supervisory Union/School District,Caledonia Central,Math Not Military,2023,***
Supervisory Union/School District,Caledonia Central,Math American Indian or Alaskan Native,2023,***
Supervisory Union/School District,Caledonia Central,Math Asian,2023,***
Supervisory Union/School District,Caledonia Central,Math Black,2023,***
Supervisory Union/School District,Caledonia Central,Math Hispanic,2023,***
Supervisory Union/School District,Caledonia Central,Math Native Hawaiian or Pacific Islander,2023,***
Supervisory Union/School District,Caledonia Central,Math White,2023,0.206186
