Month.Year,AHS District,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2022-11-01,Barre District,0,*,*,0,*,0,249,15,112
2022-11-01,Bennington District,0,*,*,0,0,*,347,16,197
2022-11-01,Brattleboro District,*,*,*,0,0,*,118,*,198
2022-11-01,Burlington District,*,22,129,0,*,*,493,42,705
2022-11-01,Hartford District,*,*,*,0,0,0,165,*,107
2022-11-01,Middlebury District,0,0,0,0,0,0,56,0,337
2022-11-01,Morrisville District,0,0,*,0,*,0,183,15,185
2022-11-01,Newport District,*,0,*,0,*,*,144,0,244
2022-11-01,Rutland District,0,*,*,0,0,0,532,25,273
2022-11-01,Springfield District,0,*,*,0,0,*,286,10,136
2022-11-01,St. Albans District,*,*,*,0,*,*,414,16,198
2022-11-01,St. Johnsbury District,0,*,*,0,0,*,141,*,496
2022-10-01,Barre District,0,*,*,0,*,0,229,10,137
2022-10-01,Bennington District,0,*,*,0,0,*,332,15,204
2022-10-01,Brattleboro District,*,*,*,0,0,*,106,*,216
2022-10-01,Burlington District,*,23,122,0,*,*,465,40,715
2022-10-01,Hartford District,*,*,*,0,0,0,154,*,112
2022-10-01,Middlebury District,0,0,0,0,0,0,53,0,331
2022-10-01,Morrisville District,0,0,*,0,*,0,172,13,200
2022-10-01,Newport District,0,0,*,0,*,*,135,0,258
2022-10-01,Rutland District,0,*,24,0,0,0,490,*,294
2022-10-01,Springfield District,0,*,*,0,0,*,268,*,154
2022-10-01,St. Albans District,*,*,*,0,*,*,404,16,207
2022-10-01,St. Johnsbury District,0,*,*,0,0,*,127,*,502
2022-09-01,Barre District,0,*,*,0,*,0,198,*,162
2022-09-01,Bennington District,0,*,*,0,0,*,326,14,230
2022-09-01,Brattleboro District,0,*,*,0,0,*,102,*,237
2022-09-01,Burlington District,0,23,114,0,*,*,440,38,776
2022-09-01,Hartford District,*,*,*,0,0,0,147,*,125
2022-09-01,Middlebury District,0,0,*,0,0,0,*,0,330
2022-09-01,Morrisville District,0,0,*,0,*,0,134,13,214
2022-09-01,Newport District,0,0,*,0,*,*,119,0,274
2022-09-01,Rutland District,0,*,*,0,0,0,451,21,348
2022-09-01,Springfield District,0,*,*,0,0,*,255,*,195
2022-09-01,St. Albans District,*,*,*,0,*,*,393,15,226
2022-09-01,St. Johnsbury District,0,*,*,0,0,*,122,*,523
2022-08-01,Barre District,0,*,*,0,0,0,215,12,227
2022-08-01,Bennington District,0,*,*,0,*,0,326,16,289
2022-08-01,Brattleboro District,0,*,*,0,0,*,77,*,278
2022-08-01,Burlington District,0,21,95,0,*,*,450,36,894
2022-08-01,Hartford District,*,*,*,0,0,0,149,*,183
2022-08-01,Middlebury District,0,0,*,0,0,0,*,0,413
2022-08-01,Morrisville District,0,0,0,0,0,0,111,12,273
2022-08-01,Newport District,0,0,*,0,*,*,106,0,306
2022-08-01,Rutland District,0,*,15,0,0,0,414,*,483
2022-08-01,Springfield District,0,*,*,0,0,0,214,*,260
2022-08-01,St. Albans District,*,*,11,0,0,*,374,14,266
2022-08-01,St. Johnsbury District,0,0,*,0,0,*,105,*,569
2022-07-01,Barre District,0,*,*,0,0,0,145,*,271
2022-07-01,Bennington District,0,*,0,0,*,0,293,12,329
2022-07-01,Brattleboro District,0,*,*,0,0,0,44,*,272
2022-07-01,Burlington District,0,*,76,0,0,*,355,35,900
2022-07-01,Hartford District,*,*,*,0,0,0,127,*,190
2022-07-01,Middlebury District,0,0,*,0,0,0,*,0,380
2022-07-01,Morrisville District,0,0,0,0,0,0,*,*,264
2022-07-01,Newport District,*,0,*,0,0,*,76,0,310
2022-07-01,Rutland District,*,*,10,0,0,0,319,*,533
2022-07-01,Springfield District,0,0,*,0,0,0,135,*,301
2022-07-01,St. Albans District,*,0,10,0,0,*,341,13,284
2022-07-01,St. Johnsbury District,0,0,*,0,0,*,83,*,546
