geo type,geography,year,category,value
AHSD,Middlebury District,2023-03,Unreported,*
AHSD,Morrisville District,2023-03,None of the above,0
AHSD,Morrisville District,2023-03,Qualified Immigrant,*
AHSD,Morrisville District,2023-03,US Citizen,322
AHSD,Morrisville District,2023-03,Unreported,*
AHSD,Newport District,2023-03,None of the above,0
AHSD,Newport District,2023-03,Qualified Immigrant,0
AHSD,Newport District,2023-03,US Citizen,349
AHSD,Newport District,2023-03,Unreported,68
AHSD,Rutland District,2023-03,None of the above,0
AHSD,Rutland District,2023-03,Qualified Immigrant,0
AHSD,Rutland District,2023-03,US Citizen,717
AHSD,Rutland District,2023-03,Unreported,110
AHSD,Springfield District,2023-03,None of the above,0
AHSD,Springfield District,2023-03,Qualified Immigrant,0
AHSD,Springfield District,2023-03,US Citizen,378
AHSD,Springfield District,2023-03,Unreported,76
AHSD,St. Albans District,2023-03,None of the above,*
AHSD,St. Albans District,2023-03,Qualified Immigrant,0
AHSD,St. Albans District,2023-03,US Citizen,526
AHSD,St. Albans District,2023-03,Unreported,*
AHSD,St. Johnsbury District,2023-03,None of the above,0
AHSD,St. Johnsbury District,2023-03,Qualified Immigrant,0
AHSD,St. Johnsbury District,2023-03,US Citizen,605
AHSD,St. Johnsbury District,2023-03,Unreported,78
AHSD,Barre District,2023-02,None of the above,0
AHSD,Barre District,2023-02,Qualified Immigrant,*
AHSD,Barre District,2023-02,US Citizen,342
AHSD,Barre District,2023-02,Unreported,*
AHSD,Bennington District,2023-02,None of the above,0
AHSD,Bennington District,2023-02,Qualified Immigrant,*
AHSD,Bennington District,2023-02,US Citizen,460
AHSD,Bennington District,2023-02,Unreported,*
AHSD,Brattleboro District,2023-02,None of the above,*
AHSD,Brattleboro District,2023-02,Qualified Immigrant,*
AHSD,Brattleboro District,2023-02,US Citizen,294
AHSD,Brattleboro District,2023-02,Unreported,46
AHSD,Burlington District,2023-02,None of the above,*
AHSD,Burlington District,2023-02,Qualified Immigrant,*
AHSD,Burlington District,2023-02,US Citizen,1109
AHSD,Burlington District,2023-02,Unreported,314
AHSD,Hartford District,2023-02,None of the above,0
AHSD,Hartford District,2023-02,Qualified Immigrant,*
AHSD,Hartford District,2023-02,US Citizen,257
AHSD,Hartford District,2023-02,Unreported,*
AHSD,Middlebury District,2023-02,None of the above,0
AHSD,Middlebury District,2023-02,Qualified Immigrant,*
AHSD,Middlebury District,2023-02,US Citizen,334
AHSD,Middlebury District,2023-02,Unreported,*
AHSD,Morrisville District,2023-02,None of the above,0
