Month.Year,AHS District,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2024-01-01,St. Albans District,*,*,11,*,*,*,533,20,89
2024-01-01,St. Johnsbury District,*,*,*,0,*,*,238,*,421
2023-12-01,Barre District,0,*,*,0,*,*,387,16,41
2023-12-01,Bennington District,*,*,12,0,0,0,546,30,52
2023-12-01,Brattleboro District,*,*,10,0,*,10,276,17,87
2023-12-01,Burlington District,*,40,198,0,*,15,752,64,501
2023-12-01,Hartford District,*,*,*,*,*,0,278,*,44
2023-12-01,Middlebury District,0,0,0,0,0,*,*,0,380
2023-12-01,Morrisville District,*,0,*,*,*,*,357,25,36
2023-12-01,Newport District,0,0,*,0,*,0,261,0,163
2023-12-01,Rutland District,0,*,20,0,*,0,693,33,93
2023-12-01,Springfield District,0,*,*,0,0,*,420,25,46
2023-12-01,St. Albans District,*,*,12,0,*,*,536,16,89
2023-12-01,St. Johnsbury District,*,*,*,0,*,*,236,*,435
2023-11-01,Barre District,0,*,*,0,*,*,378,20,39
2023-11-01,Bennington District,*,*,11,0,0,0,537,30,49
2023-11-01,Brattleboro District,*,*,*,0,*,*,253,21,96
2023-11-01,Burlington District,*,44,196,0,*,13,742,67,499
2023-11-01,Hartford District,*,*,*,*,*,0,264,*,41
2023-11-01,Middlebury District,0,0,0,0,0,*,*,0,383
2023-11-01,Morrisville District,0,0,*,*,*,0,350,24,45
2023-11-01,Newport District,0,0,*,0,*,0,255,0,164
2023-11-01,Rutland District,0,*,18,0,*,*,672,34,92
2023-11-01,Springfield District,0,*,*,0,0,*,416,24,48
2023-11-01,St. Albans District,*,*,12,0,*,*,511,16,91
2023-11-01,St. Johnsbury District,*,*,*,0,*,*,241,*,423
2023-10-01,Barre District,0,*,*,0,10,*,380,21,36
2023-10-01,Bennington District,0,*,*,0,0,0,550,30,52
2023-10-01,Brattleboro District,*,*,*,0,*,*,239,19,103
2023-10-01,Burlington District,*,44,195,0,*,14,717,68,519
2023-10-01,Hartford District,0,*,*,*,*,0,264,*,38
2023-10-01,Middlebury District,0,0,0,0,0,*,*,0,390
2023-10-01,Morrisville District,0,0,*,*,*,0,332,25,50
2023-10-01,Newport District,0,0,*,0,*,0,259,0,164
2023-10-01,Rutland District,0,*,19,0,*,*,690,34,90
2023-10-01,Springfield District,0,*,*,0,0,*,403,25,50
2023-10-01,St. Albans District,*,*,12,0,*,*,521,16,90
2023-10-01,St. Johnsbury District,*,*,*,0,*,*,245,*,448
2023-09-01,Barre District,0,*,*,0,*,*,363,20,38
2023-09-01,Bennington District,*,*,11,0,0,*,555,27,56
2023-09-01,Brattleboro District,*,*,*,0,*,10,224,19,125
2023-09-01,Burlington District,*,39,203,0,*,15,707,69,551
2023-09-01,Hartford District,0,*,*,*,*,0,258,*,45
2023-09-01,Middlebury District,0,0,*,0,0,*,75,0,391
2023-09-01,Morrisville District,0,0,10,*,*,0,308,24,64
2023-09-01,Newport District,0,0,*,0,*,0,261,0,172
2023-09-01,Rutland District,0,*,24,0,*,*,700,37,87
2023-09-01,Springfield District,0,*,*,0,0,*,434,21,50
2023-09-01,St. Albans District,*,*,12,0,*,*,544,18,93
2023-09-01,St. Johnsbury District,*,*,*,0,*,*,253,*,464
2023-08-01,Barre District,*,*,11,0,15,*,392,21,38
2023-08-01,Bennington District,*,*,*,0,*,*,579,36,55
2023-08-01,Brattleboro District,*,*,*,0,*,*,209,16,145
2023-08-01,Burlington District,*,40,207,*,*,14,750,72,623
2023-08-01,Hartford District,0,*,*,*,*,0,265,*,51
2023-08-01,Middlebury District,0,0,*,0,0,*,86,0,440
2023-08-01,Morrisville District,0,0,*,*,*,0,329,22,85
2023-08-01,Newport District,0,0,*,0,*,0,246,0,175
2023-08-01,Rutland District,0,*,21,0,*,*,750,37,90
2023-08-01,Springfield District,*,*,*,0,0,*,457,20,48
2023-08-01,St. Albans District,*,*,*,0,*,*,549,20,99
2023-08-01,St. Johnsbury District,*,*,*,0,*,*,243,*,465
2023-07-01,Barre District,*,*,11,0,12,*,379,20,42
2023-07-01,Bennington District,*,*,*,0,*,*,568,32,70
2023-07-01,Brattleboro District,*,*,*,0,*,*,183,13,162
2023-07-01,Burlington District,*,36,168,*,*,10,681,72,610
2023-07-01,Hartford District,*,*,*,*,0,0,254,*,55
2023-07-01,Middlebury District,0,0,*,0,0,*,81,0,394
2023-07-01,Morrisville District,0,0,*,*,0,0,276,16,78
2023-07-01,Newport District,0,0,*,0,*,*,232,0,183
2023-07-01,Rutland District,0,*,22,0,*,*,755,37,88
2023-07-01,Springfield District,*,*,*,0,0,*,426,16,45
2023-07-01,St. Albans District,*,*,*,0,*,*,559,21,103
2023-07-01,St. Johnsbury District,*,*,*,0,*,*,242,*,467
