geo type,geography,year,category,value
AHSD,Brattleboro District,2023-02,Non Hispanic,236
AHSD,Brattleboro District,2023-02,Unknown,*
AHSD,Brattleboro District,2023-02,Unreported,73
AHSD,Burlington District,2023-02,Hispanic,38
AHSD,Burlington District,2023-02,Native American,*
AHSD,Burlington District,2023-02,Non Hispanic,1250
AHSD,Burlington District,2023-02,Unknown,*
AHSD,Burlington District,2023-02,Unreported,145
AHSD,Hartford District,2023-02,Hispanic,*
AHSD,Hartford District,2023-02,Native American,0
AHSD,Hartford District,2023-02,Non Hispanic,269
AHSD,Hartford District,2023-02,Unknown,*
AHSD,Hartford District,2023-02,Unreported,26
AHSD,Middlebury District,2023-02,Hispanic,*
AHSD,Middlebury District,2023-02,Native American,0
AHSD,Middlebury District,2023-02,Non Hispanic,338
AHSD,Middlebury District,2023-02,Unknown,*
AHSD,Middlebury District,2023-02,Unreported,66
AHSD,Morrisville District,2023-02,Hispanic,*
AHSD,Morrisville District,2023-02,Native American,0
AHSD,Morrisville District,2023-02,Non Hispanic,381
AHSD,Morrisville District,2023-02,Unknown,*
AHSD,Morrisville District,2023-02,Unreported,*
AHSD,Newport District,2023-02,Hispanic,*
AHSD,Newport District,2023-02,Native American,0
AHSD,Newport District,2023-02,Non Hispanic,373
AHSD,Newport District,2023-02,Unknown,*
AHSD,Newport District,2023-02,Unreported,32
AHSD,Rutland District,2023-02,Hispanic,*
AHSD,Rutland District,2023-02,Native American,0
AHSD,Rutland District,2023-02,Non Hispanic,778
AHSD,Rutland District,2023-02,Unknown,*
AHSD,Rutland District,2023-02,Unreported,41
AHSD,Springfield District,2023-02,Hispanic,28
AHSD,Springfield District,2023-02,Native American,0
AHSD,Springfield District,2023-02,Non Hispanic,401
AHSD,Springfield District,2023-02,Unknown,*
AHSD,Springfield District,2023-02,Unreported,*
AHSD,St. Albans District,2023-02,Hispanic,*
AHSD,St. Albans District,2023-02,Native American,0
AHSD,St. Albans District,2023-02,Non Hispanic,528
AHSD,St. Albans District,2023-02,Unknown,*
AHSD,St. Albans District,2023-02,Unreported,63
AHSD,St. Johnsbury District,2023-02,Hispanic,*
AHSD,St. Johnsbury District,2023-02,Native American,0
AHSD,St. Johnsbury District,2023-02,Non Hispanic,595
AHSD,St. Johnsbury District,2023-02,Unknown,*
AHSD,St. Johnsbury District,2023-02,Unreported,65
AHSD,Barre District,2023-01,Hispanic,*
AHSD,Barre District,2023-01,Native American,0
AHSD,Barre District,2023-01,Non Hispanic,366
AHSD,Barre District,2023-01,Unknown,*
AHSD,Barre District,2023-01,Unreported,17
AHSD,Bennington District,2023-01,Hispanic,*
AHSD,Bennington District,2023-01,Native American,0
AHSD,Bennington District,2023-01,Non Hispanic,493
AHSD,Bennington District,2023-01,Unknown,*
AHSD,Bennington District,2023-01,Unreported,57
AHSD,Brattleboro District,2023-01,Hispanic,*
AHSD,Brattleboro District,2023-01,Native American,0
AHSD,Brattleboro District,2023-01,Non Hispanic,231
AHSD,Brattleboro District,2023-01,Unknown,*
AHSD,Brattleboro District,2023-01,Unreported,72
AHSD,Burlington District,2023-01,Hispanic,38
AHSD,Burlington District,2023-01,Native American,*
AHSD,Burlington District,2023-01,Non Hispanic,1236
AHSD,Burlington District,2023-01,Unknown,*
AHSD,Burlington District,2023-01,Unreported,135
AHSD,Hartford District,2023-01,Hispanic,*
AHSD,Hartford District,2023-01,Native American,0
AHSD,Hartford District,2023-01,Non Hispanic,254
AHSD,Hartford District,2023-01,Unknown,*
AHSD,Hartford District,2023-01,Unreported,24
AHSD,Middlebury District,2023-01,Hispanic,10
AHSD,Middlebury District,2023-01,Native American,0
AHSD,Middlebury District,2023-01,Non Hispanic,332
