Month.Year,AHS District,Infant,Preschool,School,Toddler
2022-12-01,St. Johnsbury District,97,254,236,80
2022-11-01,Barre District,58,173,112,48
2022-11-01,Bennington District,92,280,91,104
2022-11-01,Brattleboro District,64,152,58,55
2022-11-01,Burlington District,216,506,511,163
2022-11-01,Hartford District,51,120,79,35
2022-11-01,Middlebury District,43,154,145,51
2022-11-01,Morrisville District,62,166,117,42
2022-11-01,Newport District,50,156,133,54
2022-11-01,Rutland District,141,291,308,118
2022-11-01,Springfield District,68,185,134,52
2022-11-01,St. Albans District,87,235,232,93
2022-11-01,St. Johnsbury District,97,256,220,77
2022-10-01,Barre District,61,165,111,52
2022-10-01,Bennington District,93,269,96,100
2022-10-01,Brattleboro District,69,151,59,57
2022-10-01,Burlington District,212,493,487,177
2022-10-01,Hartford District,50,121,73,35
2022-10-01,Middlebury District,45,153,135,51
2022-10-01,Morrisville District,59,160,119,50
2022-10-01,Newport District,50,157,133,56
2022-10-01,Rutland District,138,291,292,112
2022-10-01,Springfield District,72,184,123,57
2022-10-01,St. Albans District,89,239,227,92
2022-10-01,St. Johnsbury District,93,255,218,74
2022-09-01,Barre District,57,166,106,50
2022-09-01,Bennington District,93,275,108,102
2022-09-01,Brattleboro District,72,163,63,57
2022-09-01,Burlington District,203,505,502,184
2022-09-01,Hartford District,53,130,68,33
2022-09-01,Middlebury District,48,152,136,46
2022-09-01,Morrisville District,54,156,103,51
2022-09-01,Newport District,51,160,140,46
2022-09-01,Rutland District,144,295,290,114
2022-09-01,Springfield District,73,205,125,58
2022-09-01,St. Albans District,84,229,236,102
2022-09-01,St. Johnsbury District,93,259,227,76
2022-08-01,Barre District,52,195,158,57
2022-08-01,Bennington District,87,311,136,102
2022-08-01,Brattleboro District,62,188,74,48
2022-08-01,Burlington District,203,554,564,178
2022-08-01,Hartford District,56,157,101,32
2022-08-01,Middlebury District,47,185,199,45
2022-08-01,Morrisville District,50,162,133,51
2022-08-01,Newport District,47,162,159,48
2022-08-01,Rutland District,138,333,347,111
2022-08-01,Springfield District,65,202,161,56
2022-08-01,St. Albans District,76,237,266,91
2022-08-01,St. Johnsbury District,97,260,248,77
2022-07-01,Barre District,37,185,150,60
2022-07-01,Bennington District,88,317,135,98
2022-07-01,Brattleboro District,44,174,60,45
2022-07-01,Burlington District,184,535,498,161
2022-07-01,Hartford District,56,155,91,28
2022-07-01,Middlebury District,44,170,182,36
2022-07-01,Morrisville District,46,144,106,48
2022-07-01,Newport District,47,153,145,45
2022-07-01,Rutland District,135,326,313,99
2022-07-01,Springfield District,55,189,150,49
2022-07-01,St. Albans District,78,231,260,83
2022-07-01,St. Johnsbury District,81,243,237,74
